iter	Logloss
0	0.6931140449
1	0.6930963205
2	0.6930688923
3	0.6930510795
4	0.6930241402
5	0.6930052914
6	0.6929861476
7	0.6929529588
8	0.6929153557
9	0.6928952237
10	0.6928659177
11	0.6928435177
12	0.6928098794
13	0.692786991
14	0.6927584976
15	0.6927284314
16	0.6927000988
17	0.6926705924
18	0.6926402129
19	0.6926240678
20	0.6925949941
21	0.6925720799
22	0.6925472765
23	0.692523587
24	0.6925017464
25	0.6924751628
26	0.6924602661
27	0.6924230399
28	0.6923870478
29	0.6923641824
30	0.6923387847
31	0.6923072136
32	0.6922804822
33	0.6922461867
34	0.6922220565
35	0.6921882174
36	0.6921655864
37	0.6921362559
38	0.6921181724
