iter	Passed	Remaining
0	7	387
1	10	277
2	14	243
3	18	226
4	22	216
5	26	204
6	29	193
7	31	174
8	33	163
9	37	162
10	41	159
11	45	156
12	49	151
13	54	151
14	55	139
15	58	134
16	61	130
17	66	128
18	70	125
19	74	123
20	78	119
21	92	130
22	94	123
23	99	120
24	103	115
25	107	111
26	111	107
27	116	104
28	118	98
29	122	94
30	123	87
31	127	83
32	133	80
33	137	76
34	140	72
35	143	67
36	147	63
37	151	59
38	157	56
39	160	52
40	165	48
41	168	44
42	171	39
43	172	35
44	175	31
45	178	27
46	181	23
47	184	19
48	188	15
49	191	11
50	194	7
51	198	3
52	199	0
